name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,3.31147e+07,130416,3.29366e+07,3.34325e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,6.17813e+07,164005,6.15323e+07,6.1953e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,3.3045e+07,97924.6,3.29151e+07,3.32232e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,3.36188e+07,98556.7,3.34688e+07,3.37341e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,3.3046e+07,134661,3.2873e+07,3.32416e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,6.26964e+07,777795,6.19013e+07,6.35048e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,3.58395e+07,89510.4,3.56926e+07,3.59398e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,3.75847e+07,81281.1,3.74122e+07,3.76832e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,1.98578e+07,116037,1.97463e+07,2.01414e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,3.63461e+07,61413.5,3.62632e+07,3.64705e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,3.0369e+07,176811,3.00063e+07,3.06035e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,2.53154e+07,33594,2.52656e+07,2.53743e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,3.31496e+07,186410,3.29025e+07,3.35307e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,6.55187e+07,817418,6.47043e+07,6.65173e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,5.62362e+07,282708,5.57276e+07,5.65241e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,4.62403e+07,81713.8,4.60778e+07,4.63817e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,7.36787e+06,13283.4,7.34321e+06,7.3872e+06
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,2.27109e+07,101814,2.25686e+07,2.28973e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,2.10261e+07,816633,1.87558e+07,2.15842e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,1.45735e+07,1.48274e+06,1.40617e+07,1.87927e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,1.99625e+07,240466,1.97742e+07,2.05002e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,3.84469e+07,115791,3.82654e+07,3.86616e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,4.2846e+07,191185,4.25535e+07,4.32216e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,3.48975e+07,125087,3.47944e+07,3.51375e+07
