name,err_msg,iterations,warmup_iterations,gpu_computation,gpu_blocks,threads_per_block,message_size_B,block_size_B,EC,lost_blocks,cpu_threads,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(40/32)",0,2,545529,3159.83,123.02,0.710411,18503.2,769.288,3632.07,126.826
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(12/8)",0,2,705945,6196.11,95.0693,0.791472,12297.6,2527.22,5505.78,280.617
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(20/16)",0,2,540069,3939.07,124.266,0.906619,13889.2,689.581,4841.64,202.121
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(24/16)",0,2,690560,4500.6,97.1842,0.595874,14191.6,614.472,4736.39,177.968
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(36/32)",0,2,457819,3471.45,146.592,1.11014,9787.03,576.531,6875.44,322.454
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",0,2,533509,3336.77,125.792,0.786178,10156.3,531.064,6622.11,284.54
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(12/8)",0,2,690634,5093.33,97.1748,0.659966,7069.98,460.363,9519.43,429.349
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(20/16)",0,2,534175,5580.82,125.643,1.18993,7856.78,310.158,8554.77,336.95
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(24/16)",0,2,684291,2271.87,98.0718,0.326165,8077.79,469.885,8329.87,389.972
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(36/32)",0,2,456534,3767.1,147.007,1.21315,5732.6,502.781,11769.7,762.675
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(40/32)",0,2,531880,3194.11,126.177,0.757399,5920.43,336.404,11367.8,591.496
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(12/8)",0,4,257923,1700.69,260.201,1.70426,23158.3,801.08,2900.96,91.1192
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(20/16)",0,4,214597,1551.14,312.736,2.24058,26399.8,910.503,2544.79,80.8124
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(24/16)",0,4,263186,1941.99,255,1.86718,27201.8,1068.38,2470.41,85.644
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(36/32)",0,4,192897,1467.34,347.92,2.61838,18237.5,689.383,3684.46,126.057
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(40/32)",0,4,224138,1672.09,299.425,2.21738,19153.6,756.377,3508.48,121.496
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(12/8)",0,4,262930,5080.37,255.306,3.7102,12658.4,481.87,5307.98,172.129
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(20/16)",0,4,223656,1663.17,300.07,2.21357,14336,878.401,4693.77,214.109
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(24/16)",0,4,357409,6807.11,187.819,2.87036,14808.2,582.355,4538.17,161.534
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(36/32)",0,4,203230,1583.3,330.232,2.55073,10252.7,449.47,6556.06,246.935
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(40/32)",0,4,273909,2289.96,245.021,2.04242,10620.9,555.622,6332.89,280.049
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(12/8)",0,4,356034,6187.51,188.538,2.76497,7416.18,333.197,9064.59,356.736
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(20/16)",0,4,280688,31949.8,239.998,8.2918,8240.5,558.295,8171.13,413.528
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(24/16)",0,4,348235,2246.6,192.719,1.23862,8450.5,467.95,7960.27,349.84
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(36/32)",0,4,241717,2486.1,277.663,2.84277,6133.46,428.202,10981.3,594.572
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",0,4,274306,2359.11,244.667,2.08272,6327.06,551.115,10663.6,680.328
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(12/8)",0,4,348343,2072.59,192.659,1.14352,4776.45,231.031,14071.1,462.32
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(20/16)",0,4,275071,8484.13,244.116,4.81722,5147.07,516.475,13128.2,944.647
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(24/16)",0,4,344330,1980.78,194.903,1.11734,5318.01,447.327,12683,802.585
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(36/32)",0,4,239678,2946.9,280.037,3.40914,4575.12,10154.5,16362.8,1454.98
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(40/32)",0,4,272852,2484.16,245.974,2.22372,4158.6,412.965,16259.6,1315.67
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(12/8)",0,8,133413,9136.47,504.316,20.6162,13479.4,4220.94,5048.16,276.03
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(20/16)",0,8,110898,3458.16,605.703,18.1301,14962.3,709.969,4493.76,182.346
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(24/16)",0,8,135114,5943.1,497.537,19.4547,15296.5,572.674,4392.65,146.889
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(36/32)",0,8,99682.8,2148.84,673.527,14.0969,10789.8,496.413,6231.03,252.063
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(40/32)",0,8,114455,2654.36,586.6,11.5264,11070.7,606.483,6076.65,274.402
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(12/8)",0,8,136964,8042.52,491.521,26.4158,8090.27,460.21,8314.86,356.88
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(20/16)",0,8,116777,6909.74,576.458,30.2426,9316.62,10441.6,7583.93,456.042
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(24/16)",0,8,181071,7865.53,371.01,9.18881,9041.79,530.326,7442.49,355.393
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(36/32)",0,8,106946,6853.45,629.775,35.6083,6787.76,301.896,9906.34,442.047
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(40/32)",0,8,140834,2853.31,476.699,9.36895,6973.16,596.204,9671.84,589.156
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(12/8)",0,8,191160,7023,351.524,12.6236,5453.14,416.813,12353.2,636.932
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(20/16)",0,8,177069,6693.04,379.526,13.9662,6041.44,341.922,11135,496.562
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(24/16)",0,8,188000,7890.99,357.571,14.5488,6016.5,621.077,11236.3,831.177
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(36/32)",0,8,171601,5994.32,391.541,13.3357,4980.74,259.275,13502.8,586.406
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(40/32)",0,8,176899,6671.37,379.89,14.0114,5058.4,342.169,13312.3,711.37
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(12/8)",0,8,184004,1680.46,364.744,3.2853,4172.4,138.278,16101.8,537.139
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(20/16)",0,8,175710,6446.42,382.233,8.43821,4711.68,4475.72,14862.2,804.501
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(24/16)",0,8,184046,1670.68,364.661,3.26572,4574.59,363.131,14724.3,716.525
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(36/32)",0,8,170724,1457.62,393.112,3.30934,3950.92,331.426,17058.9,921.087
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,8192,"(40/32)",0,8,174462,1499.12,384.689,3.25941,3983.47,333.268,16916.1,870.406
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(12/8)",0,16,74278.9,5917.21,908.863,68.0619,8896.45,379.791,7554.74,272.018
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(20/16)",0,16,64927.1,5745.39,1041.28,87.297,9888.23,538.887,6802.2,288.215
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(24/16)",0,16,78690.2,9354.94,859.808,66.8474,10212.8,3961.06,6681.82,338.57
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(36/32)",0,16,61019.1,5562.38,1108.7,98.2223,7779.11,453.239,8649.62,400.219
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,1024,"(40/32)",0,16,67907.5,5590.06,994.617,77.8886,7904.8,507.301,8515.33,410.001
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(12/8)",0,16,78192,5427.52,862.263,57.9499,6255.25,324.581,10749.8,425.673
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(20/16)",0,16,68062.2,5495.78,992.178,76.9854,6769.33,476.761,9948.15,503.293
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(24/16)",0,16,98884.4,5334.98,680.562,35.3832,6961.82,495.901,9676.08,528.908
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(36/32)",0,16,63361.2,5476.68,1066.84,89.4266,5745.41,448.373,11730.1,660.459
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,2048,"(40/32)",0,16,79790.9,9810.04,847.248,59.1535,5890.33,443.836,11440.2,648.17
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(12/8)",0,16,177776,8485.31,378.108,13.4962,5392.95,4914.15,12997,939.136
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(20/16)",0,16,171086,5004.51,392.579,11.2292,5597.38,440.796,12046.1,746.577
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(24/16)",0,16,177563,11426.6,378.8,14.3492,5789.32,4948.02,12087.7,939.717
"XOR-EC, AVX-512",,500,100,0,0,0,8388608,4096,"(36/32)",0,16,167590,5082.68,400.791,11.7784,5026.16,289.234,13394.8,750.096
