name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"Xorec/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,2.00844e+07,215684,1.99621e+07,2.06753e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,4.15304e+07,167795,4.11975e+07,4.17614e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,1.80117e+07,551652,1.76322e+07,1.94315e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(4,2)",0,1,0,0,0,2.05056e+07,77133.5,2.03956e+07,2.06795e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,2.02149e+07,65158.1,2.01402e+07,2.03163e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,4.29649e+07,441089,4.24674e+07,4.37482e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,1.82268e+07,380543,1.80002e+07,1.92503e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(8,4)",0,1,0,0,0,2.6479e+07,87894.9,2.63857e+07,2.66498e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,1.21445e+07,55740.5,1.2053e+07,1.22656e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,2.39635e+07,47960.5,2.39117e+07,2.40404e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,1.07996e+07,64399.7,1.07318e+07,1.09319e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(16,4)",0,1,0,0,0,1.93114e+07,30870,1.92567e+07,1.93647e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,2.01658e+07,108132,2.00382e+07,2.03545e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,4.54051e+07,280844,4.50193e+07,4.58739e+07
