name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(4,2)",0,1,0,0,0,2.93628e+07,50832,2.92478e+07,2.94577e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(8,4)",0,1,0,0,0,2.72934e+07,38710.2,2.72204e+07,2.73844e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(8,4)",0,1,0,0,0,4.64963e+07,81868.8,4.63477e+07,4.66725e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(8,4)",0,1,0,0,0,3.86547e+07,146219,3.84e+07,3.89053e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(16,4)",0,1,0,0,0,1.9475e+07,26080.1,1.94156e+07,1.95551e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(16,4)",0,1,0,0,0,3.1986e+07,57745.6,3.18607e+07,3.21311e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(16,4)",0,1,0,0,0,3.19839e+07,368461,3.13391e+07,3.24905e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(16,8)",0,1,0,0,0,2.71655e+07,40427,2.70971e+07,2.72311e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(16,8)",0,1,0,0,0,5.02302e+07,92598.9,5.00495e+07,5.04406e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(16,8)",0,1,0,0,0,5.52519e+07,155906,5.49241e+07,5.56013e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,4)",0,1,0,0,0,1.40375e+07,27313.2,1.39541e+07,1.41715e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,4)",0,1,0,0,0,2.44788e+07,43266.8,2.43751e+07,2.45867e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,4)",0,1,0,0,0,2.47328e+07,390314,2.4162e+07,2.83558e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,1,0,0,0,1.94897e+07,24500.7,1.94368e+07,1.9544e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,1,0,0,0,3.48706e+07,73785.3,3.47419e+07,3.50338e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,1,0,0,0,5.01356e+07,8.19365e+06,4.88229e+07,1.19847e+08
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,2,0,0,0,1.72833e+07,106285,1.60321e+07,1.74072e+07
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,2,0,0,0,2.91145e+07,64389.4,2.88321e+07,2.9309e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,2,0,0,0,4.34311e+07,561710,3.92378e+07,4.38198e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,4,0,0,0,9.23253e+06,49553.6,8.92284e+06,9.37191e+06
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,4,0,0,0,1.53647e+07,81033.9,1.50225e+07,1.55972e+07
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,4,0,0,0,2.21283e+07,71416.3,2.15673e+07,2.22414e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,8,0,0,0,5.25968e+06,30728.5,5.03135e+06,5.36083e+06
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,8,0,0,0,8.40756e+06,49553.6,7.994e+06,8.55142e+06
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,8,0,0,0,1.14632e+07,66894.2,1.10485e+07,1.16753e+07
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,16,0,0,0,3.61212e+06,28898.2,3.30131e+06,3.80371e+06
"Leopard (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,16,0,0,0,5.1006e+06,45429.6,4.76593e+06,5.19417e+06
"CM256 (MDS)/iterations:1",,500,134217728,8192,"FEC(32,8)",0,16,0,0,0,6.24135e+06,105049,5.91052e+06,6.43968e+06
"Xorec/iterations:1",,500,134217728,8192,"FEC(32,8)",0,32,0,0,0,3.42948e+06,150067,2.83785e+06,3.7186e+06
