name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,32,1.97939e+07,14412.8
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,64,1.97945e+07,19488.6
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,128,1.97964e+07,5360.74
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,256,1.98021e+07,4673.26
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,512,1.97971e+07,7056.71
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,16,1024,1.97983e+07,5764.79
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,32,1.98e+07,4935.93
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,64,1.98003e+07,3050.02
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,128,1.98e+07,2809.98
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,256,1.98028e+07,4050.47
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,512,1.98013e+07,3782.42
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(2,1)",0,1,8,1024,1.98014e+07,3436.77
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,32,1.98016e+07,6076.38
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,64,1.98001e+07,2797.24
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,128,1.97994e+07,3413.74
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,256,1.98014e+07,1719.7
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,512,1.98004e+07,4939.2
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,2048,1024,1.97998e+07,3268.6
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,1024,32,1.98019e+07,2017.02
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,1024,64,1.98007e+07,4665.21
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,1024,128,1.98005e+07,3740.38
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,1024,256,1.98e+07,3411.09
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,1024,512,1.98011e+07,2299.05
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,1024,1024,1.97991e+07,3215.64
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,512,32,1.98026e+07,4111.33
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,512,64,1.97981e+07,2880.36
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,512,128,1.98001e+07,5864.66
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,512,256,1.98013e+07,2282.11
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,512,512,1.97999e+07,4427.85
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,512,1024,1.98014e+07,3826.85
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,256,32,1.98026e+07,4366.7
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,256,64,1.97985e+07,3997.97
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,256,128,1.97992e+07,5703.09
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,256,256,1.97998e+07,2516.92
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,256,512,1.98006e+07,1960.01
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,256,1024,1.98007e+07,4338.55
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,128,32,1.97993e+07,4966.84
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,128,64,1.97994e+07,2694.41
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,128,128,1.98008e+07,3432.63
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,128,256,1.97999e+07,4154.22
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,128,512,1.98008e+07,4952.05
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,128,1024,1.98031e+07,2970.63
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,64,32,1.97998e+07,4023.06
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,64,64,1.98e+07,2865.25
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,64,128,1.9802e+07,2480.41
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,64,256,1.98009e+07,3394.65
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,64,512,1.98016e+07,3238.11
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,64,1024,1.98011e+07,4224.66
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,32,32,1.97995e+07,4697.49
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,32,64,1.97996e+07,4067.65
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,32,128,1.97985e+07,4658.4
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,32,256,1.97991e+07,6483.32
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,32,512,1.98003e+07,3829.84
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,32,1024,1.98031e+07,3184.24
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,16,32,1.98012e+07,4056.37
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,16,64,1.98024e+07,3309.76
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,16,128,1.98018e+07,3405.77
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,16,256,1.97996e+07,3570.23
"Xorec GPU (CPU Parity)/iterations:1",,10,134217728,4096,"FEC(4,2)",0,1,16,512,1.97993e+07,3746.32
